X,Y,Height
90,1100,3.61328
100,1100,3.62104
110,1100,3.62828
120,1100,3.63385
130,1100,3.63783
140,1100,3.63864
150,1100,3.63591
160,1100,3.62808
170,1100,3.61228
180,1100,3.58749
190,1100,3.54838
200,1100,3.49189
210,1100,3.41356
220,1100,3.30651
230,1100,3.16565
240,1100,2.98649
250,1100,2.76206
260,1100,2.49234
270,1100,2.22272
280,1100,1.97498
290,1100,1.72682
300,1100,1.72682
0,1200,3.53613
10,1200,3.54399
20,1200,3.55206
30,1200,3.56071
40,1200,3.56943
50,1200,3.57812
60,1200,3.58724
70,1200,3.59615
80,1200,3.60469
90,1200,3.61328
100,1200,3.62104
110,1200,3.62828
120,1200,3.63385
130,1200,3.63783
140,1200,3.63864
150,1200,3.63591
160,1200,3.62808
170,1200,3.61228
180,1200,3.58749
190,1200,3.54838
200,1200,3.49189
210,1200,3.41356
220,1200,3.30651
230,1200,3.16565
240,1200,2.98649
250,1200,2.76206
260,1200,2.49234
270,1200,2.22272
280,1200,1.97498
290,1200,1.72682
300,1200,1.72682
0,1300,3.53613
10,1300,3.54399
20,1300,3.55206
30,1300,3.56071
40,1300,3.56943
50,1300,3.57812
60,1300,3.58724
70,1300,3.59615
80,1300,3.60469
90,1300,3.61328
100,1300,3.62104
110,1300,3.62828
120,1300,3.63385
130,1300,3.63783
140,1300,3.63864
150,1300,3.63591
160,1300,3.62808
170,1300,3.61228
180,1300,3.58749
190,1300,3.54838
200,1300,3.49189
210,1300,3.41356
220,1300,3.30651
230,1300,3.16565
240,1300,2.98649
250,1300,2.76206
260,1300,2.49234
270,1300,2.22272
280,1300,1.97498
290,1300,1.72682
300,1300,1.72682
0,1400,3.53613
10,1400,3.54399
20,1400,3.55206
30,1400,3.56071
40,1400,3.56943
50,1400,3.57812
60,1400,3.58724
70,1400,3.59615
80,1400,3.60469
90,1400,3.61328
100,1400,3.62104
110,1400,3.62828
120,1400,3.63385
130,1400,3.63783
140,1400,3.63864
150,1400,3.63591
160,1400,3.62808
170,1400,3.61228
180,1400,3.58749
190,1400,3.54838
200,1400,3.49189
210,1400,3.41356
220,1400,3.30651
230,1400,3.16565
240,1400,2.98649
250,1400,2.76206
260,1400,2.49234
270,1400,2.22272
280,1400,1.97498
290,1400,1.72682
300,1400,1.72682
0,1500,3.53613
10,1500,3.54399
20,1500,3.55206
30,1500,3.56071
40,1500,3.56943
50,1500,3.57812
60,1500,3.58724
70,1500,3.59615
80,1500,3.60469
90,1500,3.61328
100,1500,3.62104
110,1500,3.62828
120,1500,3.63385
130,1500,3.63783
140,1500,3.63864
150,1500,3.63591
160,1500,3.62808
170,1500,3.61228
180,1500,3.58749
190,1500,3.54838
200,1500,3.49189
210,1500,3.41356
220,1500,3.30651
230,1500,3.16565
240,1500,2.98649
250,1500,2.76206
260,1500,2.49234
270,1500,2.22272
280,1500,1.97498
290,1500,1.72682
300,1500,1.72682
0,1600,3.53613
10,1600,3.54399
20,1600,3.55206
30,1600,3.56071
40,1600,3.56943
50,1600,3.57812
60,1600,3.58724
70,1600,3.59615
80,1600,3.60469
90,1600,3.61328
100,1600,3.62104
110,1600,3.62828
120,1600,3.63385
130,1600,3.63783
140,1600,3.63864
150,1600,3.63591
160,1600,3.62808
170,1600,3.61228
180,1600,3.58749
190,1600,3.54838
200,1600,3.49189
210,1600,3.41356
220,1600,3.30651
230,1600,3.16565
240,1600,2.98649
250,1600,2.76206
260,1600,2.49234
270,1600,2.22272
280,1600,1.97498
290,1600,1.72682
300,1600,1.72682
0,1700,3.53613
10,1700,3.54399
20,1700,3.55206
30,1700,3.56071
40,1700,3.56943
50,1700,3.57812
60,1700,3.58724
70,1700,3.59615
80,1700,3.60469
90,1700,3.61328
100,1700,3.62104
110,1700,3.62828
120,1700,3.63385
130,1700,3.63783
140,1700,3.63864
150,1700,3.63591
160,1700,3.62808
170,1700,3.61228
180,1700,3.58749
190,1700,3.54838
200,1700,3.49189
210,1700,3.41356
220,1700,3.30651
230,1700,3.16565
240,1700,2.98649
250,1700,2.76206
260,1700,2.49234
270,1700,2.22272
280,1700,1.97498
290,1700,1.72682
300,1700,1.72682
