Actual,ANN_Predicted,SVR_Predicted,RF_Predicted,MLP_Predicted
0.724,0.2291356,3.135244418,0.8447,1.492565778
2.956,2.2041361,6.618360083,2.1912,2.902027942
3.344,3.206321,6.571907527,2.71449,3.786632736
1.426,1.4881746,4.262090633,1.6227,1.595728377
7.891,7.4701395,18.37219079,11.86041,10.55203661
0.85,1.1883085,5.499210106,2.169,2.651857023
1.816,1.4846067,7.280153785,2.22746,2.689055846
0.471,0.3291356,1.781540973,0.32645,0.47709431
1.568,2.740886,5.982878417,2.27462,2.816056006
2.672,3.3351803,6.122202625,2.70703,2.835938751
0.893,1.2762777,2.8352672,1.15518,0.804868586
4.049,1.1943973,3.792052623,2.83173,2.965910105
1.409,2.8781295,5.19681914,2.52585,2.095074316
0.985,0.82154715,2.83747058,1.02636,0.547750535
0.279,0.33516204,1.559209179,0.31789,0.080238829
3.304,3.3787434,6.47646827,2.57399,3.350099387
2.276,4.3148785,7.346264621,2.58664,3.600899875
0.53,0.5171714,2.237514545,0.45956,0.511796368
10.293,11.255595,17.69070464,11.79673,15.68235064
1.319,1.1963283,5.326104607,1.29276,1.551162044
4.127,4.8706913,8.751183757,5.93829,4.828089646
