Exper_x1,Pre_x1,Exper_x2,Pre_x2,Exper_x3,Pre_x3,Exper_x4,Pre_x4,Exper_x5,Pre_x5,Exper_x6,Pre_x6
0.628,0.54063,0.53474,0.64482,0.56604,0.66645,0.56088,0.5708,0.55436,0.84799,0.59865,0.88671
0.59512,0.53333,0.51576,0.66833,0.58506,0.65987,0.57166,0.59271,0.56559,0.80456,0.61623,0.89967
0.59512,0.53333,0.52262,0.68685,0.59622,0.6751,0.60013,0.55654,0.58243,0.80187,0.63177,0.91501
0.58974,0.56561,0.53632,0.74279,0.61347,0.69654,0.61988,0.55898,0.58243,0.77112,0.63177,0.93582
0.58974,0.56561,0.57769,0.65194,0.59445,0.62321,0.60551,0.58054,0.5712,0.75306,0.65495,0.92013
0.61156,0.56561,0.58138,0.67973,0.62133,0.63843,0.59654,0.60002,0.58243,0.72999,0.63941,0.89421
0.61156,0.56561,0.59324,0.70538,0.62945,0.6533,0.59654,0.62158,0.6032,0.70924,0.63355,0.85806
0.58407,0.6225,0.61064,0.64482,0.62463,0.69239,0.6127,0.62158,0.59927,0.67081,0.63737,0.83998
0.63168,0.6002,0.61248,0.6751,0.58658,0.73978,0.6268,0.60245,0.59927,0.67081,0.6705,0.84783
0.63168,0.6348,0.65043,0.65194,0.59775,0.75051,0.62347,0.63132,0.64446,0.72231,0.66464,0.88125
0.63367,0.65478,0.6694,0.62629,0.58658,0.78718,0.64476,0.63132,0.66692,0.75306,0.71686,0.85806
0.65181,0.65478,0.64859,0.6612,0.64036,0.76123,0.65912,0.62645,0.62566,0.76574,0.71686,0.82975
0.66116,0.61519,0.67968,0.69149,0.6642,0.72249,0.66784,0.59758,0.60881,0.77881,0.73037,0.80895
0.6793,0.57292,0.66756,0.74065,0.66725,0.68132,0.67503,0.57567,0.63323,0.85068,0.74973,0.80383
0.66116,0.56062,0.62777,0.72177,0.66572,0.64707,0.63758,0.67722,0.60488,0.8403,0.76731,0.80383
0.66654,0.50604,0.60537,0.71714,0.67993,0.63601,0.63578,0.70644,0.58608,0.87105,0.74795,0.8451
0.66286,0.69437,0.59693,0.69398,0.65938,0.56059,0.59295,0.74504,0.59562,0.90717,0.76145,0.86317
0.72152,0.67208,0.62777,0.7264,0.64213,0.50455,0.65912,0.74017,0.61246,0.90717,0.72451,0.92559
0.71586,0.64978,0.62276,0.76381,0.72584,0.62978,0.70889,0.71617,0.63127,0.8968,0.74795,0.92559
0.72889,0.61519,0.60378,0.77307,0.72584,0.62978,0.71786,0.69183,0.60685,0.94061,0.77699,0.92286
0.74902,0.63249,0.58639,0.77556,0.70834,0.68374,0.72684,0.66783,0.63127,0.98174,0.79228,0.91774
0.77084,0.63249,0.57084,0.78483,0.74968,0.68997,0.75172,0.68453,0.63885,0.95868,0.80782,0.91501
0.79294,0.62519,0.58639,0.84789,0.79077,0.69654,0.73582,0.70887,0.6613,0.95599,0.81954,0.92286
0.80938,0.63018,0.60194,0.79409,0.77809,0.72249,0.72505,0.74991,0.65176,0.92255,0.83508,0.94093
0.73059,0.57791,0.61933,0.81511,0.74004,0.72041,0.74993,0.74747,0.67449,0.89949,0.7826,0.88398
0.75979,0.59021,0.63831,0.80122,0.74968,0.74186,0.77147,0.72556,0.72305,0.83761,0.76145,0.87375
0.78189,0.57522,0.63646,0.83613,0.74968,0.74186,0.78199,0.70644,0.74747,0.83761,0.78667,0.85533
0.81477,0.56292,0.64516,0.87104,0.77327,0.75708,0.80533,0.7353,0.7907,0.82992,0.80196,0.83998
0.71954,0.60751,0.67099,0.86641,0.77327,0.75708,0.81764,0.75234,0.81315,0.82992,0.81368,0.82191
0.78359,0.67707,0.66229,0.89206,0.74638,0.76123,0.79456,0.75965,0.78312,0.86874,0.82132,0.85533
0.80201,0.69706,0.647,0.91558,0.71798,0.75501,0.77147,0.77877,0.7514,0.87105,0.831,0.87613
0.81307,0.66708,0.72791,0.74742,0.71645,0.79167,0.76788,0.80312,0.72867,0.88642,0.84476,0.85533
0.8295,0.65248,0.76085,0.74742,0.71645,0.79167,0.75531,0.81529,0.72137,0.91486,0.87941,0.83725
0.86606,0.65478,0.74346,0.68472,0.73218,0.81727,0.72684,0.84416,0.72305,0.95329,0.92603,0.87375
0.88619,0.66477,0.78141,0.64731,0.7337,0.83907,0.7784,0.87789,0.74382,0.95868,0.93571,0.8659
0.93748,0.64248,0.66756,0.73602,0.72102,0.85844,0.79994,0.85633,0.75309,0.94561,0.9589,0.86317
0.92473,0.67976,0.75742,0.74528,0.7512,0.83699,0.81226,0.83442,0.76459,0.98404,0.94922,0.9099
