%
%
% Run:V1    Table:COMPGRID          SWAN version:41.31AB
%
%       Xp            Yp            Hsig        X-Windv       Y-Windv    
%       [m]           [m]           [m]           [m/s]         [m/s]    
%
          34.          250.       0.02472        0.0000        0.0000 
          35.          250.       0.02409        0.0000        0.0000 
          36.          250.       0.02348        0.0000        0.0000 
          37.          250.       0.02291        0.0000        0.0000 
          38.          250.       0.02236        0.0000        0.0000 
          39.          250.       0.02184        0.0000        0.0000 
          40.          250.       0.02134        0.0000        0.0000 
          41.          250.       0.02087        0.0000        0.0000 
          42.          250.       0.02041        0.0000        0.0000 
          43.          250.       0.01998        0.0000        0.0000 
          44.          250.       0.01956        0.0000        0.0000 
          45.          250.       0.01916        0.0000        0.0000 
          46.          250.       0.01878        0.0000        0.0000 
          47.          250.       0.01841        0.0000        0.0000 
          48.          250.       0.01805        0.0000        0.0000 
          49.          250.       0.01771        0.0000        0.0000 
          50.          250.       0.01739        0.0000        0.0000 
           0.          260.       0.28347        0.0000        0.0000 
           1.          260.       0.23190        0.0000        0.0000 
           2.          260.       0.18825        0.0000        0.0000 
           3.          260.       0.15502        0.0000        0.0000 
           4.          260.       0.13063        0.0000        0.0000 
           5.          260.       0.11272        0.0000        0.0000 
           6.          260.       0.09931        0.0000        0.0000 
           7.          260.       0.08896        0.0000        0.0000 
           8.          260.       0.08073        0.0000        0.0000 
           9.          260.       0.07400        0.0000        0.0000 
          10.          260.       0.06838        0.0000        0.0000 
          11.          260.       0.06359        0.0000        0.0000 
          12.          260.       0.05945        0.0000        0.0000 
          13.          260.       0.05583        0.0000        0.0000 
          14.          260.       0.05264        0.0000        0.0000 
          15.          260.       0.04980        0.0000        0.0000 
          16.          260.       0.04726        0.0000        0.0000 
          17.          260.       0.04497        0.0000        0.0000 
          18.          260.       0.04289        0.0000        0.0000 
          19.          260.       0.04100        0.0000        0.0000 
          20.          260.       0.03927        0.0000        0.0000 
          21.          260.       0.03768        0.0000        0.0000 
          22.          260.       0.03622        0.0000        0.0000 
          23.          260.       0.03486        0.0000        0.0000 
          24.          260.       0.03361        0.0000        0.0000 
          25.          260.       0.03244        0.0000        0.0000 
          26.          260.       0.03135        0.0000        0.0000 
          27.          260.       0.03033        0.0000        0.0000 
          28.          260.       0.02938        0.0000        0.0000 
          29.          260.       0.02848        0.0000        0.0000 
          30.          260.       0.02764        0.0000        0.0000 
          31.          260.       0.02685        0.0000        0.0000 
          32.          260.       0.02610        0.0000        0.0000 
          33.          260.       0.02539        0.0000        0.0000 
          34.          260.       0.02472        0.0000        0.0000 
          35.          260.       0.02409        0.0000        0.0000 
          36.          260.       0.02348        0.0000        0.0000 
          37.          260.       0.02291        0.0000        0.0000 
          38.          260.       0.02236        0.0000        0.0000 
          39.          260.       0.02184        0.0000        0.0000 
          40.          260.       0.02134        0.0000        0.0000 
          41.          260.       0.02087        0.0000        0.0000 
          42.          260.       0.02041        0.0000        0.0000 
          43.          260.       0.01998        0.0000        0.0000 
          44.          260.       0.01956        0.0000        0.0000 
          45.          260.       0.01916        0.0000        0.0000 
          46.          260.       0.01878        0.0000        0.0000 
          47.          260.       0.01841        0.0000        0.0000 
          48.          260.       0.01805        0.0000        0.0000 
          49.          260.       0.01771        0.0000        0.0000 
          50.          260.       0.01739        0.0000        0.0000 
           0.          270.       0.28347        0.0000        0.0000 
           1.          270.       0.23190        0.0000        0.0000 
           2.          270.       0.18825        0.0000        0.0000 
           3.          270.       0.15502        0.0000        0.0000 
           4.          270.       0.13063        0.0000        0.0000 
           5.          270.       0.11272        0.0000        0.0000 
           6.          270.       0.09931        0.0000        0.0000 
           7.          270.       0.08896        0.0000        0.0000 
           8.          270.       0.08073        0.0000        0.0000 
           9.          270.       0.07400        0.0000        0.0000 
          10.          270.       0.06838        0.0000        0.0000 
          11.          270.       0.06359        0.0000        0.0000 
          12.          270.       0.05945        0.0000        0.0000 
          13.          270.       0.05583        0.0000        0.0000 
          14.          270.       0.05264        0.0000        0.0000 
          15.          270.       0.04980        0.0000        0.0000 
          16.          270.       0.04726        0.0000        0.0000 
          17.          270.       0.04497        0.0000        0.0000 
          18.          270.       0.04289        0.0000        0.0000 
          19.          270.       0.04100        0.0000        0.0000 
          20.          270.       0.03927        0.0000        0.0000 
          21.          270.       0.03768        0.0000        0.0000 
          22.          270.       0.03622        0.0000        0.0000 
          23.          270.       0.03486        0.0000        0.0000 
          24.          270.       0.03361        0.0000        0.0000 
          25.          270.       0.03244        0.0000        0.0000 
          26.          270.       0.03135        0.0000        0.0000 
          27.          270.       0.03033        0.0000        0.0000 
          28.          270.       0.02938        0.0000        0.0000 
          29.          270.       0.02848        0.0000        0.0000 
          30.          270.       0.02764        0.0000        0.0000 
          31.          270.       0.02685        0.0000        0.0000 
          32.          270.       0.02610        0.0000        0.0000 
          33.          270.       0.02539        0.0000        0.0000 
          34.          270.       0.02472        0.0000        0.0000 
          35.          270.       0.02409        0.0000        0.0000 
          36.          270.       0.02348        0.0000        0.0000 
          37.          270.       0.02291        0.0000        0.0000 
          38.          270.       0.02236        0.0000        0.0000 
          39.          270.       0.02184        0.0000        0.0000 
          40.          270.       0.02134        0.0000        0.0000 
          41.          270.       0.02087        0.0000        0.0000 
          42.          270.       0.02041        0.0000        0.0000 
          43.          270.       0.01998        0.0000        0.0000 
          44.          270.       0.01956        0.0000        0.0000 
          45.          270.       0.01916        0.0000        0.0000 
          46.          270.       0.01878        0.0000        0.0000 
          47.          270.       0.01841        0.0000        0.0000 
          48.          270.       0.01805        0.0000        0.0000 
          49.          270.       0.01771        0.0000        0.0000 
          50.          270.       0.01739        0.0000        0.0000 
           0.          280.       0.28347        0.0000        0.0000 
           1.          280.       0.23190        0.0000        0.0000 
           2.          280.       0.18825        0.0000        0.0000 
           3.          280.       0.15502        0.0000        0.0000 
           4.          280.       0.13063        0.0000        0.0000 
           5.          280.       0.11272        0.0000        0.0000 
           6.          280.       0.09931        0.0000        0.0000 
           7.          280.       0.08896        0.0000        0.0000 
           8.          280.       0.08073        0.0000        0.0000 
           9.          280.       0.07400        0.0000        0.0000 
          10.          280.       0.06838        0.0000        0.0000 
          11.          280.       0.06359        0.0000        0.0000 
          12.          280.       0.05945        0.0000        0.0000 
          13.          280.       0.05583        0.0000        0.0000 
          14.          280.       0.05264        0.0000        0.0000 
          15.          280.       0.04980        0.0000        0.0000 
          16.          280.       0.04726        0.0000        0.0000 
          17.          280.       0.04497        0.0000        0.0000 
          18.          280.       0.04289        0.0000        0.0000 
          19.          280.       0.04100        0.0000        0.0000 
          20.          280.       0.03927        0.0000        0.0000 
          21.          280.       0.03768        0.0000        0.0000 
          22.          280.       0.03622        0.0000        0.0000 
          23.          280.       0.03486        0.0000        0.0000 
          24.          280.       0.03361        0.0000        0.0000 
          25.          280.       0.03244        0.0000        0.0000 
          26.          280.       0.03135        0.0000        0.0000 
          27.          280.       0.03033        0.0000        0.0000 
          28.          280.       0.02938        0.0000        0.0000 
          29.          280.       0.02848        0.0000        0.0000 
          30.          280.       0.02764        0.0000        0.0000 
          31.          280.       0.02685        0.0000        0.0000 
          32.          280.       0.02610        0.0000        0.0000 
          33.          280.       0.02539        0.0000        0.0000 
          34.          280.       0.02472        0.0000        0.0000 
          35.          280.       0.02409        0.0000        0.0000 
          36.          280.       0.02348        0.0000        0.0000 
          37.          280.       0.02291        0.0000        0.0000 
          38.          280.       0.02236        0.0000        0.0000 
          39.          280.       0.02184        0.0000        0.0000 
          40.          280.       0.02134        0.0000        0.0000 
          41.          280.       0.02087        0.0000        0.0000 
          42.          280.       0.02041        0.0000        0.0000 
          43.          280.       0.01998        0.0000        0.0000 
          44.          280.       0.01956        0.0000        0.0000 
          45.          280.       0.01916        0.0000        0.0000 
          46.          280.       0.01878        0.0000        0.0000 
          47.          280.       0.01841        0.0000        0.0000 
          48.          280.       0.01805        0.0000        0.0000 
          49.          280.       0.01771        0.0000        0.0000 
          50.          280.       0.01739        0.0000        0.0000 
           0.          290.       0.28347        0.0000        0.0000 
           1.          290.       0.23190        0.0000        0.0000 
           2.          290.       0.18825        0.0000        0.0000 
           3.          290.       0.15502        0.0000        0.0000 
           4.          290.       0.13063        0.0000        0.0000 
           5.          290.       0.11272        0.0000        0.0000 
           6.          290.       0.09931        0.0000        0.0000 
           7.          290.       0.08896        0.0000        0.0000 
           8.          290.       0.08073        0.0000        0.0000 
           9.          290.       0.07400        0.0000        0.0000 
          10.          290.       0.06838        0.0000        0.0000 
          11.          290.       0.06359        0.0000        0.0000 
          12.          290.       0.05945        0.0000        0.0000 
          13.          290.       0.05583        0.0000        0.0000 
          14.          290.       0.05264        0.0000        0.0000 
          15.          290.       0.04980        0.0000        0.0000 
          16.          290.       0.04726        0.0000        0.0000 
          17.          290.       0.04497        0.0000        0.0000 
          18.          290.       0.04289        0.0000        0.0000 
          19.          290.       0.04100        0.0000        0.0000 
          20.          290.       0.03927        0.0000        0.0000 
          21.          290.       0.03768        0.0000        0.0000 
          22.          290.       0.03622        0.0000        0.0000 
          23.          290.       0.03486        0.0000        0.0000 
          24.          290.       0.03361        0.0000        0.0000 
          25.          290.       0.03244        0.0000        0.0000 
          26.          290.       0.03135        0.0000        0.0000 
          27.          290.       0.03033        0.0000        0.0000 
          28.          290.       0.02938        0.0000        0.0000 
          29.          290.       0.02848        0.0000        0.0000 
          30.          290.       0.02764        0.0000        0.0000 
          31.          290.       0.02685        0.0000        0.0000 
          32.          290.       0.02610        0.0000        0.0000 
          33.          290.       0.02539        0.0000        0.0000 
          34.          290.       0.02472        0.0000        0.0000 
          35.          290.       0.02409        0.0000        0.0000 
          36.          290.       0.02348        0.0000        0.0000 
          37.          290.       0.02291        0.0000        0.0000 
          38.          290.       0.02236        0.0000        0.0000 
          39.          290.       0.02184        0.0000        0.0000 
          40.          290.       0.02134        0.0000        0.0000 
          41.          290.       0.02087        0.0000        0.0000 
          42.          290.       0.02041        0.0000        0.0000 
          43.          290.       0.01998        0.0000        0.0000 
          44.          290.       0.01956        0.0000        0.0000 
          45.          290.       0.01916        0.0000        0.0000 
          46.          290.       0.01878        0.0000        0.0000 
          47.          290.       0.01841        0.0000        0.0000 
          48.          290.       0.01805        0.0000        0.0000 
          49.          290.       0.01771        0.0000        0.0000 
          50.          290.       0.01739        0.0000        0.0000 
           0.          300.       0.28347        0.0000        0.0000 
           1.          300.       0.23190        0.0000        0.0000 
           2.          300.       0.18825        0.0000        0.0000 
           3.          300.       0.15502        0.0000        0.0000 
           4.          300.       0.13063        0.0000        0.0000 
           5.          300.       0.11272        0.0000        0.0000 
           6.          300.       0.09931        0.0000        0.0000 
           7.          300.       0.08896        0.0000        0.0000 
           8.          300.       0.08073        0.0000        0.0000 
           9.          300.       0.07400        0.0000        0.0000 
          10.          300.       0.06838        0.0000        0.0000 
          11.          300.       0.06359        0.0000        0.0000 
          12.          300.       0.05945        0.0000        0.0000 
          13.          300.       0.05583        0.0000        0.0000 
          14.          300.       0.05264        0.0000        0.0000 
          15.          300.       0.04980        0.0000        0.0000 
          16.          300.       0.04726        0.0000        0.0000 
          17.          300.       0.04497        0.0000        0.0000 
          18.          300.       0.04289        0.0000        0.0000 
          19.          300.       0.04100        0.0000        0.0000 
          20.          300.       0.03927        0.0000        0.0000 
          21.          300.       0.03768        0.0000        0.0000 
          22.          300.       0.03622        0.0000        0.0000 
          23.          300.       0.03486        0.0000        0.0000 
          24.          300.       0.03361        0.0000        0.0000 
          25.          300.       0.03244        0.0000        0.0000 
          26.          300.       0.03135        0.0000        0.0000 
          27.          300.       0.03033        0.0000        0.0000 
          28.          300.       0.02938        0.0000        0.0000 
          29.          300.       0.02848        0.0000        0.0000 
          30.          300.       0.02764        0.0000        0.0000 
          31.          300.       0.02685        0.0000        0.0000 
          32.          300.       0.02610        0.0000        0.0000 
          33.          300.       0.02539        0.0000        0.0000 
          34.          300.       0.02472        0.0000        0.0000 
          35.          300.       0.02409        0.0000        0.0000 
          36.          300.       0.02348        0.0000        0.0000 
          37.          300.       0.02291        0.0000        0.0000 
          38.          300.       0.02236        0.0000        0.0000 
          39.          300.       0.02184        0.0000        0.0000 
          40.          300.       0.02134        0.0000        0.0000 
          41.          300.       0.02087        0.0000        0.0000 
          42.          300.       0.02041        0.0000        0.0000 
          43.          300.       0.01998        0.0000        0.0000 
          44.          300.       0.01956        0.0000        0.0000 
          45.          300.       0.01916        0.0000        0.0000 
          46.          300.       0.01878        0.0000        0.0000 
          47.          300.       0.01841        0.0000        0.0000 
          48.          300.       0.01805        0.0000        0.0000 
          49.          300.       0.01771        0.0000        0.0000 
          50.          300.       0.01739        0.0000        0.0000 
           0.          310.       0.28347        0.0000        0.0000 
           1.          310.       0.23190        0.0000        0.0000 
           2.          310.       0.18825        0.0000        0.0000 
           3.          310.       0.15502        0.0000        0.0000 
           4.          310.       0.13063        0.0000        0.0000 
           5.          310.       0.11272        0.0000        0.0000 
           6.          310.       0.09931        0.0000        0.0000 
           7.          310.       0.08896        0.0000        0.0000 
           8.          310.       0.08073        0.0000        0.0000 
           9.          310.       0.07400        0.0000        0.0000 
          10.          310.       0.06838        0.0000        0.0000 
          11.          310.       0.06359        0.0000        0.0000 
          12.          310.       0.05945        0.0000        0.0000 
          13.          310.       0.05583        0.0000        0.0000 
          14.          310.       0.05264        0.0000        0.0000 
          15.          310.       0.04980        0.0000        0.0000 
          16.          310.       0.04726        0.0000        0.0000 
          17.          310.       0.04497        0.0000        0.0000 
          18.          310.       0.04289        0.0000        0.0000 
          19.          310.       0.04100        0.0000        0.0000 
          20.          310.       0.03927        0.0000        0.0000 
          21.          310.       0.03768        0.0000        0.0000 
          22.          310.       0.03622        0.0000        0.0000 
          23.          310.       0.03486        0.0000        0.0000 
          24.          310.       0.03361        0.0000        0.0000 
          25.          310.       0.03244        0.0000        0.0000 
          26.          310.       0.03135        0.0000        0.0000 
          27.          310.       0.03033        0.0000        0.0000 
          28.          310.       0.02938        0.0000        0.0000 
          29.          310.       0.02848        0.0000        0.0000 
          30.          310.       0.02764        0.0000        0.0000 
          31.          310.       0.02685        0.0000        0.0000 
          32.          310.       0.02610        0.0000        0.0000 
          33.          310.       0.02539        0.0000        0.0000 
          34.          310.       0.02472        0.0000        0.0000 
          35.          310.       0.02409        0.0000        0.0000 
          36.          310.       0.02348        0.0000        0.0000 
          37.          310.       0.02291        0.0000        0.0000 
          38.          310.       0.02236        0.0000        0.0000 
          39.          310.       0.02184        0.0000        0.0000 
          40.          310.       0.02134        0.0000        0.0000 
          41.          310.       0.02087        0.0000        0.0000 
          42.          310.       0.02041        0.0000        0.0000 
          43.          310.       0.01998        0.0000        0.0000 
          44.          310.       0.01956        0.0000        0.0000 
          45.          310.       0.01916        0.0000        0.0000 
          46.          310.       0.01878        0.0000        0.0000 
          47.          310.       0.01841        0.0000        0.0000 
          48.          310.       0.01805        0.0000        0.0000 
          49.          310.       0.01771        0.0000        0.0000 
          50.          310.       0.01739        0.0000        0.0000 
           0.          320.       0.28347        0.0000        0.0000 
           1.          320.       0.23190        0.0000        0.0000 
           2.          320.       0.18825        0.0000        0.0000 
           3.          320.       0.15502        0.0000        0.0000 
           4.          320.       0.13063        0.0000        0.0000 
           5.          320.       0.11272        0.0000        0.0000 
           6.          320.       0.09931        0.0000        0.0000 
           7.          320.       0.08896        0.0000        0.0000 
           8.          320.       0.08073        0.0000        0.0000 
           9.          320.       0.07400        0.0000        0.0000 
          10.          320.       0.06838        0.0000        0.0000 
          11.          320.       0.06359        0.0000        0.0000 
          12.          320.       0.05945        0.0000        0.0000 
          13.          320.       0.05583        0.0000        0.0000 
          14.          320.       0.05264        0.0000        0.0000 
          15.          320.       0.04980        0.0000        0.0000 
          16.          320.       0.04726        0.0000        0.0000 
          17.          320.       0.04497        0.0000        0.0000 
          18.          320.       0.04289        0.0000        0.0000 
          19.          320.       0.04100        0.0000        0.0000 
          20.          320.       0.03927        0.0000        0.0000 
          21.          320.       0.03768        0.0000        0.0000 
          22.          320.       0.03622        0.0000        0.0000 
          23.          320.       0.03486        0.0000        0.0000 
          24.          320.       0.03361        0.0000        0.0000 
          25.          320.       0.03244        0.0000        0.0000 
          26.          320.       0.03135        0.0000        0.0000 
          27.          320.       0.03033        0.0000        0.0000 
          28.          320.       0.02938        0.0000        0.0000 
          29.          320.       0.02848        0.0000        0.0000 
          30.          320.       0.02764        0.0000        0.0000 
          31.          320.       0.02685        0.0000        0.0000 
          32.          320.       0.02610        0.0000        0.0000 
          33.          320.       0.02539        0.0000        0.0000 
          34.          320.       0.02472        0.0000        0.0000 
          35.          320.       0.02409        0.0000        0.0000 
          36.          320.       0.02348        0.0000        0.0000 
          37.          320.       0.02291        0.0000        0.0000 
          38.          320.       0.02236        0.0000        0.0000 
          39.          320.       0.02184        0.0000        0.0000 
          40.          320.       0.02134        0.0000        0.0000 
          41.          320.       0.02087        0.0000        0.0000 
          42.          320.       0.02041        0.0000        0.0000 
          43.          320.       0.01998        0.0000        0.0000 
          44.          320.       0.01956        0.0000        0.0000 
          45.          320.       0.01916        0.0000        0.0000 
          46.          320.       0.01878        0.0000        0.0000 
          47.          320.       0.01841        0.0000        0.0000 
          48.          320.       0.01805        0.0000        0.0000 
          49.          320.       0.01771        0.0000        0.0000 
          50.          320.       0.01739        0.0000        0.0000 
           0.          330.       0.28347        0.0000        0.0000 
           1.          330.       0.23190        0.0000        0.0000 
           2.          330.       0.18825        0.0000        0.0000 
           3.          330.       0.15502        0.0000        0.0000 
           4.          330.       0.13063        0.0000        0.0000 
           5.          330.       0.11272        0.0000        0.0000 
           6.          330.       0.09931        0.0000        0.0000 
           7.          330.       0.08896        0.0000        0.0000 
           8.          330.       0.08073        0.0000        0.0000 
           9.          330.       0.07400        0.0000        0.0000 
          10.          330.       0.06838        0.0000        0.0000 
          11.          330.       0.06359        0.0000        0.0000 
          12.          330.       0.05945        0.0000        0.0000 
          13.          330.       0.05583        0.0000        0.0000 
          14.          330.       0.05264        0.0000        0.0000 
          15.          330.       0.04980        0.0000        0.0000 
          16.          330.       0.04726        0.0000        0.0000 
          17.          330.       0.04497        0.0000        0.0000 
          18.          330.       0.04289        0.0000        0.0000 
          19.          330.       0.04100        0.0000        0.0000 
          20.          330.       0.03927        0.0000        0.0000 
          21.          330.       0.03768        0.0000        0.0000 
          22.          330.       0.03622        0.0000        0.0000 
          23.          330.       0.03486        0.0000        0.0000 
          24.          330.       0.03361        0.0000        0.0000 
          25.          330.       0.03244        0.0000        0.0000 
          26.          330.       0.03135        0.0000        0.0000 
          27.          330.       0.03033        0.0000        0.0000 
          28.          330.       0.02938        0.0000        0.0000 
          29.          330.       0.02848        0.0000        0.0000 
          30.          330.       0.02764        0.0000        0.0000 
          31.          330.       0.02685        0.0000        0.0000 
          32.          330.       0.02610        0.0000        0.0000 
          33.          330.       0.02539        0.0000        0.0000 
          34.          330.       0.02472        0.0000        0.0000 
          35.          330.       0.02409        0.0000        0.0000 
          36.          330.       0.02348        0.0000        0.0000 
          37.          330.       0.02291        0.0000        0.0000 
          38.          330.       0.02236        0.0000        0.0000 
          39.          330.       0.02184        0.0000        0.0000 
          40.          330.       0.02134        0.0000        0.0000 
          41.          330.       0.02087        0.0000        0.0000 
          42.          330.       0.02041        0.0000        0.0000 
          43.          330.       0.01998        0.0000        0.0000 
          44.          330.       0.01956        0.0000        0.0000 
          45.          330.       0.01916        0.0000        0.0000 
          46.          330.       0.01878        0.0000        0.0000 
          47.          330.       0.01841        0.0000        0.0000 
          48.          330.       0.01805        0.0000        0.0000 
          49.          330.       0.01771        0.0000        0.0000 
          50.          330.       0.01739        0.0000        0.0000 
           0.          340.       0.28347        0.0000        0.0000 
           1.          340.       0.23190        0.0000        0.0000 
           2.          340.       0.18825        0.0000        0.0000 
           3.          340.       0.15502        0.0000        0.0000 
           4.          340.       0.13063        0.0000        0.0000 
           5.          340.       0.11272        0.0000        0.0000 
           6.          340.       0.09931        0.0000        0.0000 
           7.          340.       0.08896        0.0000        0.0000 
           8.          340.       0.08073        0.0000        0.0000 
           9.          340.       0.07400        0.0000        0.0000 
          10.          340.       0.06838        0.0000        0.0000 
          11.          340.       0.06359        0.0000        0.0000 
          12.          340.       0.05945        0.0000        0.0000 
          13.          340.       0.05583        0.0000        0.0000 
          14.          340.       0.05264        0.0000        0.0000 
          15.          340.       0.04980        0.0000        0.0000 
          16.          340.       0.04726        0.0000        0.0000 
          17.          340.       0.04497        0.0000        0.0000 
          18.          340.       0.04289        0.0000        0.0000 
          19.          340.       0.04100        0.0000        0.0000 
          20.          340.       0.03927        0.0000        0.0000 
          21.          340.       0.03768        0.0000        0.0000 
          22.          340.       0.03622        0.0000        0.0000 
          23.          340.       0.03486        0.0000        0.0000 
          24.          340.       0.03361        0.0000        0.0000 
          25.          340.       0.03244        0.0000        0.0000 
          26.          340.       0.03135        0.0000        0.0000 
          27.          340.       0.03033        0.0000        0.0000 
          28.          340.       0.02938        0.0000        0.0000 
          29.          340.       0.02848        0.0000        0.0000 
          30.          340.       0.02764        0.0000        0.0000 
          31.          340.       0.02685        0.0000        0.0000 
          32.          340.       0.02610        0.0000        0.0000 
          33.          340.       0.02539        0.0000        0.0000 
          34.          340.       0.02472        0.0000        0.0000 
          35.          340.       0.02409        0.0000        0.0000 
          36.          340.       0.02348        0.0000        0.0000 
          37.          340.       0.02291        0.0000        0.0000 
          38.          340.       0.02236        0.0000        0.0000 
          39.          340.       0.02184        0.0000        0.0000 
          40.          340.       0.02134        0.0000        0.0000 
          41.          340.       0.02087        0.0000        0.0000 
          42.          340.       0.02041        0.0000        0.0000 
          43.          340.       0.01998        0.0000        0.0000 
          44.          340.       0.01956        0.0000        0.0000 
          45.          340.       0.01916        0.0000        0.0000 
          46.          340.       0.01878        0.0000        0.0000 
          47.          340.       0.01841        0.0000        0.0000 
          48.          340.       0.01805        0.0000        0.0000 
          49.          340.       0.01771        0.0000        0.0000 
          50.          340.       0.01739        0.0000        0.0000 
           0.          350.       0.28347        0.0000        0.0000 
           1.          350.       0.23190        0.0000        0.0000 
           2.          350.       0.18825        0.0000        0.0000 
           3.          350.       0.15502        0.0000        0.0000 
           4.          350.       0.13063        0.0000        0.0000 
           5.          350.       0.11272        0.0000        0.0000 
           6.          350.       0.09931        0.0000        0.0000 
           7.          350.       0.08896        0.0000        0.0000 
           8.          350.       0.08073        0.0000        0.0000 
           9.          350.       0.07400        0.0000        0.0000 
          10.          350.       0.06838        0.0000        0.0000 
          11.          350.       0.06359        0.0000        0.0000 
          12.          350.       0.05945        0.0000        0.0000 
          13.          350.       0.05583        0.0000        0.0000 
          14.          350.       0.05264        0.0000        0.0000 
          15.          350.       0.04980        0.0000        0.0000 
          16.          350.       0.04726        0.0000        0.0000 
          17.          350.       0.04497        0.0000        0.0000 
          18.          350.       0.04289        0.0000        0.0000 
          19.          350.       0.04100        0.0000        0.0000 
          20.          350.       0.03927        0.0000        0.0000 
          21.          350.       0.03768        0.0000        0.0000 
          22.          350.       0.03622        0.0000        0.0000 
          23.          350.       0.03486        0.0000        0.0000 
          24.          350.       0.03361        0.0000        0.0000 
          25.          350.       0.03244        0.0000        0.0000 
          26.          350.       0.03135        0.0000        0.0000 
          27.          350.       0.03033        0.0000        0.0000 
          28.          350.       0.02938        0.0000        0.0000 
          29.          350.       0.02848        0.0000        0.0000 
          30.          350.       0.02764        0.0000        0.0000 
          31.          350.       0.02685        0.0000        0.0000 
          32.          350.       0.02610        0.0000        0.0000 
          33.          350.       0.02539        0.0000        0.0000 
          34.          350.       0.02472        0.0000        0.0000 
          35.          350.       0.02409        0.0000        0.0000 
          36.          350.       0.02348        0.0000        0.0000 
          37.          350.       0.02291        0.0000        0.0000 
          38.          350.       0.02236        0.0000        0.0000 
          39.          350.       0.02184        0.0000        0.0000 
          40.          350.       0.02134        0.0000        0.0000 
          41.          350.       0.02087        0.0000        0.0000 
          42.          350.       0.02041        0.0000        0.0000 
          43.          350.       0.01998        0.0000        0.0000 
          44.          350.       0.01956        0.0000        0.0000 
          45.          350.       0.01916        0.0000        0.0000 
          46.          350.       0.01878        0.0000        0.0000 
          47.          350.       0.01841        0.0000        0.0000 
          48.          350.       0.01805        0.0000        0.0000 
          49.          350.       0.01771        0.0000        0.0000 
          50.          350.       0.01739        0.0000        0.0000 
           0.          360.       0.28347        0.0000        0.0000 
           1.          360.       0.23190        0.0000        0.0000 
           2.          360.       0.18825        0.0000        0.0000 
           3.          360.       0.15502        0.0000        0.0000 
           4.          360.       0.13063        0.0000        0.0000 
           5.          360.       0.11272        0.0000        0.0000 
           6.          360.       0.09931        0.0000        0.0000 
           7.          360.       0.08896        0.0000        0.0000 
           8.          360.       0.08073        0.0000        0.0000 
           9.          360.       0.07400        0.0000        0.0000 
          10.          360.       0.06838        0.0000        0.0000 
          11.          360.       0.06359        0.0000        0.0000 
          12.          360.       0.05945        0.0000        0.0000 
          13.          360.       0.05583        0.0000        0.0000 
          14.          360.       0.05264        0.0000        0.0000 
          15.          360.       0.04980        0.0000        0.0000 
          16.          360.       0.04726        0.0000        0.0000 
          17.          360.       0.04497        0.0000        0.0000 
          18.          360.       0.04289        0.0000        0.0000 
          19.          360.       0.04100        0.0000        0.0000 
          20.          360.       0.03927        0.0000        0.0000 
          21.          360.       0.03768        0.0000        0.0000 
          22.          360.       0.03622        0.0000        0.0000 
          23.          360.       0.03486        0.0000        0.0000 
          24.          360.       0.03361        0.0000        0.0000 
          25.          360.       0.03244        0.0000        0.0000 
          26.          360.       0.03135        0.0000        0.0000 
          27.          360.       0.03033        0.0000        0.0000 
          28.          360.       0.02938        0.0000        0.0000 
          29.          360.       0.02848        0.0000        0.0000 
          30.          360.       0.02764        0.0000        0.0000 
          31.          360.       0.02685        0.0000        0.0000 
          32.          360.       0.02610        0.0000        0.0000 
          33.          360.       0.02539        0.0000        0.0000 
          34.          360.       0.02472        0.0000        0.0000 
          35.          360.       0.02409        0.0000        0.0000 
          36.          360.       0.02348        0.0000        0.0000 
          37.          360.       0.02291        0.0000        0.0000 
          38.          360.       0.02236        0.0000        0.0000 
          39.          360.       0.02184        0.0000        0.0000 
          40.          360.       0.02134        0.0000        0.0000 
          41.          360.       0.02087        0.0000        0.0000 
          42.          360.       0.02041        0.0000        0.0000 
          43.          360.       0.01998        0.0000        0.0000 
          44.          360.       0.01956        0.0000        0.0000 
          45.          360.       0.01916        0.0000        0.0000 
          46.          360.       0.01878        0.0000        0.0000 
          47.          360.       0.01841        0.0000        0.0000 
          48.          360.       0.01805        0.0000        0.0000 
          49.          360.       0.01771        0.0000        0.0000 
          50.          360.       0.01739        0.0000        0.0000 
           0.          370.       0.28347        0.0000        0.0000 
           1.          370.       0.23190        0.0000        0.0000 
           2.          370.       0.18825        0.0000        0.0000 
           3.          370.       0.15502        0.0000        0.0000 
           4.          370.       0.13063        0.0000        0.0000 
           5.          370.       0.11272        0.0000        0.0000 
           6.          370.       0.09931        0.0000        0.0000 
           7.          370.       0.08896        0.0000        0.0000 
           8.          370.       0.08073        0.0000        0.0000 
           9.          370.       0.07400        0.0000        0.0000 
          10.          370.       0.06838        0.0000        0.0000 
          11.          370.       0.06359        0.0000        0.0000 
          12.          370.       0.05945        0.0000        0.0000 
          13.          370.       0.05583        0.0000        0.0000 
          14.          370.       0.05264        0.0000        0.0000 
          15.          370.       0.04980        0.0000        0.0000 
          16.          370.       0.04726        0.0000        0.0000 
          17.          370.       0.04497        0.0000        0.0000 
          18.          370.       0.04289        0.0000        0.0000 
          19.          370.       0.04100        0.0000        0.0000 
          20.          370.       0.03927        0.0000        0.0000 
          21.          370.       0.03768        0.0000        0.0000 
          22.          370.       0.03622        0.0000        0.0000 
          23.          370.       0.03486        0.0000        0.0000 
          24.          370.       0.03361        0.0000        0.0000 
          25.          370.       0.03244        0.0000        0.0000 
